id;nombre;apellido;telefono;email;tipo;fecha_nacimiento;sexo;carnet_identidad
1;Pequeño Monitorizado Analista;direccional Granito;Futuro;Alejandra_Loera@yahoo.com;VENDEDOR;2025-11-07;OTRO;synergistic
2;backing;users Croacia;Sorprendente;Maricarmen.Elizondo57@yahoo.com;CLIENTE;2025-11-07;OTRO;pixel discreta Gris
3;Refinado;plataforma;TCP Infraestructura;MaraJos_Lira@yahoo.com;VENDEDOR;2025-11-08;FEMENINO;generating
4;Bedfordshire;index Teclado motivadora;acceso;Jaime_Romero33@yahoo.com;VENDEDOR;2025-11-08;FEMENINO;Seguro neural Montserrat
5;AI firewall;Gris Marroquinería Granito;Videojuegos bus;Florencia_Lebrn@gmail.com;CLIENTE;2025-11-08;OTRO;models AGP
6;Algodón Zambian auxiliary;EXE de;Práctico RSS Extremadura;Maril64@yahoo.com;VENDEDOR;2025-11-07;MASCULINO;RAM trabajo innovative
7;Boliviano Islandia extend;Programa applications Puerta;cross-platform Salchichas SMS;Luca68@yahoo.com;VENDEDOR;2025-11-07;OTRO;Credit Comodos Borders
8;Infraestructura Checking;Bloque;Berkshire;Teodoro.Moreno47@yahoo.com;CLIENTE;2025-11-08;MASCULINO;Gerente port Adelante
9;Fantástico Account Francia;en;schemas Cine;ngela_Muoz90@hotmail.com;CLIENTE;2025-11-07;FEMENINO;indexing
10;Práctico solutions;Omán;Configuración;Beatriz_Gamboa@gmail.com;CLIENTE;2025-11-08;OTRO;Joyería Borders
